Sorting Method, Number of Lines, Sorted Array Time, Sorted Comparisons, Shuffled Array Time, Shuffled Comparisons, Reverse Array Time, Reverse Comparisons
merge,100,0.0002,0,0.0002,0,0.0002,0
merge,500,0.0009,0,0.0005,0,0.0003,0
merge,1000,0.0014,0,0.0006,0,0.0005,0
merge,2000,0.0038,0,0.0038,0,0.0038,0
merge,3500,0.0055,0,0.0108,0,0.0133,0
merge,5000,0.0222,0,0.0153,0,0.0090,0
merge,7000,0.0287,0,0.0189,0,0.0235,0
merge,9000,0.0266,0,0.0343,0,0.0165,0
quick,100,0.0005,0,0.0000,0,0.0002,0
quick,500,0.0041,0,0.0001,0,0.0013,0
quick,1000,0.0086,0,0.0002,0,0.0029,0
quick,2000,0.0194,0,0.0007,0,0.0097,0
quick,3500,0.0421,0,0.0014,0,0.0288,0
quick,5000,0.0810,0,0.0020,0,0.0381,0
quick,7000,0.1405,0,0.0037,0,0.0529,0
quick,9000,0.2169,0,0.0055,0,0.0631,0
heap,100,0.0002,0,0.0001,0,0.0001,0
heap,500,0.0006,0,0.0002,0,0.0002,0
heap,1000,0.0008,0,0.0004,0,0.0004,0
heap,2000,0.0013,0,0.0010,0,0.0008,0
heap,3500,0.0033,0,0.0019,0,0.0017,0
heap,5000,0.0032,0,0.0029,0,0.0023,0
heap,7000,0.0044,0,0.0037,0,0.0015,0
heap,9000,0.0056,0,0.0050,0,0.0037,0
bubble,100,0.0000,99,0.0005,4859,0.0004,4950
bubble,500,0.0001,499,0.0053,124684,0.0020,124750
bubble,1000,0.0001,999,0.0102,498834,0.0056,499500
bubble,2000,0.0002,1999,0.0227,1997170,0.0079,1999000
bubble,3500,0.0005,3499,0.0678,6121539,0.0302,6123250
bubble,5000,0.0007,4999,0.3152,12487204,0.0779,12497500
bubble,7000,0.0016,6999,0.2081,24493260,0.1168,24496500
bubble,9000,0.0014,8999,0.3349,40487372,0.2249,40495497
transposition,100,0.0000,99,0.0004,4950,0.0004,5049
transposition,500,0.0000,499,0.0054,121756,0.0023,125249
transposition,1000,0.0001,999,0.0124,478521,0.0065,500499
transposition,2000,0.0002,1999,0.0271,1951024,0.0095,2000999
transposition,3500,0.0003,3499,0.0762,5979791,0.0334,6126749
transposition,5000,0.0006,4999,0.1283,12317536,0.0811,12502499
transposition,7000,0.0009,6999,0.2000,24111555,0.1509,24503499
transposition,9000,0.0009,8999,0.3115,40180535,0.2449,40504499

Only comparisons made in parallel
transposition,100,0.0000,2,0.0004,96,0.0004,102
transposition,500,0.0000,2,0.0052,502,0.0021,502
transposition,1000,0.0001,2,0.0120,968,0.0024,1002
transposition,2000,0.0002,2,0.0253,1968,0.0100,2002
transposition,3500,0.0004,2,0.0680,3444,0.0478,3502
transposition,5000,0.0006,2,0.1326,4926,0.0778,5002
transposition,7000,0.0008,2,0.2063,6932,0.1653,7002
transposition,9000,0.0013,2,0.3092,8904,0.2383,9002
